field_name,field_type,options
cpf,cpf,
nome,text,
subsidio_abono_de_permanencia,decimal,
vantagens_artigo_184_i_e_192_i_lei_171152,decimal,optional
vantagens_artigo_192_ida_lei_811290,decimal,optional
abono_de_permanencia_gnat,decimal,optional
outra,text,optional
detalhe,text,optional
outra_2,text,optional
detalhe_2,text,optional
outra_3,text,optional
detalhe_3,text,optional
outra_4,text,optional
detalhe_4,text,optional
outra_5,text,optional
detalhe_5,text,optional
outra_6,text,optional
detalhe_6,text,optional
outra_7,text,optional
detalhe_7,text,optional
outra_8,text,optional
detalhe_8,text,optional
outra_9,text,optional
detalhe_9,text,optional
total,text,
