field_name,field_type,options
cpf,cpf,
nome,text,
auxilio_alimentacao,decimal,
auxilio_pre_escolar,decimal,
auxilio_saude,decimal,
auxilio_natalidade,decimal,
auxilio_moradia,decimal,
ajuda_de_custo,decimal,
bolsa_pos_graduacao,decimal,optional
outra,text,optional
detalhe,text,optional
outra_2,text,optional
detalhe_2,text,optional
outra_3,text,optional
detalhe_3,text,optional
outra_4,text,optional
detalhe_4,text,optional
outra_5,text,optional
detalhe_5,text,optional
outra_6,text,optional
detalhe_6,text,optional
outra_7,text,optional
detalhe_7,text,optional
outra_8,text,optional
detalhe_8,text,optional
outra_9,text,optional
detalhe_9,text,optional
outra_10,text,optional
detalhe_10,text,optional
outra_11,text,optional
detalhe_11,text,optional
total,decimal,
